number,smiles,,
125,NC1=CC(C(F)(F)F)=C(OC2=CC=C(C3=CC=C(OC4=CC=C(N)C=C4C(F)(F)F)C=C3)C=C2)C=C1,106,
126,NC1=CC=C(C2=C(C)C=C(N)C=C2)C(C)=C1,107,
127,NC1=CC(C)=C(NC(C2=CC=C(N)C(C)=C2)=O)C=C1,108,
128,CC1=CC(NC(C2=C(C)C=C(N)C=C2)=O)=CC=C1C3=NC4=CC(NC(C5=C(C)C=C(N)C=C5)=O)=CC=C4N3C6=CC=CC=C6,109,
129,CC1=CC(NC(C2=C(C(F)(F)F)C=C(N)C=C2)=O)=CC=C1C3=NC4=CC(NC(C5=C(C(F)(F)F)C=C(N)C=C5)=O)=CC=C4N3C6=CC=CC=C6,110,
130,NC1=CC=C(OC2=CC=C(C3=CC=C(OC4=CC=C(N)C=C4C)C=C3)C=C2)C=C1C,111,
131,NC1=CC=C(OC2=CC=C(C(C3=CC=C(OC4=CC=C(N)C=C4)C=C3)(C(F)(F)F)C(F)(F)F)C=C2)C=C1,112,
132,NC1=CC=C(OC2=CC=C(OC3=CC=C(N)C=C3)C(P(C4=CC=CC=C4)(C5=CC=CC=C5)=O)=C2)C=C1,113,
133,NC1=CC(N)=CC=C1,114,
134,NC1=CC=C(N2N=C(C3=CC=C(OC4=CC=C(N)C=C4)C=C3)C(C=CC=C5)=C5C2=O)C=C1,115,
